ID,Annual.Salary,Job,refid,Applicant,Market,Experience,Hire.Date,2014.Performance,2015.Performance
1,24538,office worker,,0,'San Fran',4,6/8/2013,5,4
2,115179,director,262,1,'Orlando',5,9/8/2014,5,4
3,78105,analyst,799,1,'New Orleans',5,4/12/2014,4,1
4,76174,analyst,288,1,'New Orleans',3,3/2/2014,3,1
5,116357,director,,0,'New York',5,4/24/2015,4,0
6,104471,director,,0,'Orlando',4,9/3/2013,5,4
7,37498,programmer 1,518,1,'Orlando',5,7/5/2014,2,4
8,71570,analyst,,0,'New Orleans',4,11/8/2013,1,5
9,41345,programmer 1,,0,'New York',4,2/27/2013,4,0
10,24841,office worker,,0,'San Fran',5,11/17/2015,0,2
11,65641,analyst,,0,'San Fran',6,12/27/2014,2,0
12,38720,programmer 1,974,1,'New York',5,10/19/2014,4,3
13,23706,office worker,192,1,'San Fran',2,7/18/2014,3,3
14,55276,programmer 2,929,1,'San Fran',1,8/30/2014,4,3
15,56354,programmer 2,646,1,'Orlando',1,12/9/2015,4,4
16,95807,sr. analyst,,0,'New Orleans',5,5/18/2015,3,2
17,66746,analyst,803,1,'New York',4,4/22/2014,2,0
18,113816,director,,0,'New York',3,12/2/2013,3,0
19,43004,programmer 1,,0,'San Fran',3,5/5/2015,4,5
20,31577,programmer 1,,0,'New York',1,3/30/2014,4,2
21,42435,programmer 1,759,1,'New York',5,3/31/2013,1,0
22,29734,office worker,629,1,'San Fran',1,9/5/2014,1,1
23,79599,analyst,,0,'Orlando',2,3/13/2015,5,2
24,50933,programmer 2,214,1,'San Fran',2,1/20/2015,2,1
25,41287,programmer 1,,0,'New York',1,1/17/2015,1,3
26,82918,sr. analyst,,0,'New York',4,6/12/2015,4,5
27,83972,sr. analyst,,0,'Orlando',2,3/18/2014,0,0
28,93212,sr. analyst,,0,'Orlando',6,10/29/2015,2,3
29,87892,sr. analyst,,0,'New Orleans',1,9/17/2013,3,2
30,72643,analyst,,0,'San Fran',5,9/23/2013,2,1
